"visitor_id","lead_id","amount","created_at","closing_reason","learning_format","status_id"
ae38c0e19418ad892d6fbbd28a25d19d178937dd,"2385138",0,2023-06-23 10:46:08.000,Не реализовано,group,143
a7c62730ab31f476e3d50997844a67c1ef15f30d,"2441927",0,2023-06-15 01:58:41.000,Не реализовано,group,143
"5f5d05db620866b11f4bf422a179193e6f72fa25","2498716",0,2023-06-16 16:43:34.000,Не реализовано,group,143
cb6e250f0c10f26c2323cd73082ece332425b616,"2555505",0,2023-06-07 13:30:13.000,Не реализовано,group,143
acd4587c2fcfff951bbf19d65d8e9a6554d6a35a,"2612294",0,2023-06-13 16:24:13.000,Не реализовано,group,143
bd173358dbc0ba6b516f6bf09b9f3abf5f4d36f7,"2669083",0,2023-06-28 15:45:24.000,Не реализовано,group,143
"3812d4fc5d4ef4644244a7133a1c7809f9b64ac3","2725872",0,2023-06-19 16:50:41.000,Не реализовано,group,143
dc27b31bc9beae355fd802194746e31406fc0c74,"2782661",0,2023-06-24 11:56:28.000,Не реализовано,group,143
"7ef06b923a2e6f574b49363da0874a2b070c4186","2839450",0,2023-06-21 20:38:24.000,Не реализовано,group,143
f0480e36b2bbeb048aa258d4e3635817a6f8c7d6,"2896239",160920,2023-06-20 14:00:55.000,Успешная продажа,group,142
fa0fe24eaab78db44a7c16b270b7dff1031a114b,"2953028",0,2023-06-24 15:45:57.000,Не реализовано,group,143
b568ad8b82ccad9552dc28cb14a90d6cfe00a0ea,"3009817",0,2023-06-11 09:44:59.000,Не реализовано,group,143
ef65dacc18267a475625031f7253e67a85781987,"3066606",0,2023-06-20 14:18:10.000,Не реализовано,bootcamp,143
"9de1f48e9ab2dd70d1b5b918f0b107f112cfeed7","3123395",0,2023-06-22 14:14:08.000,Не реализовано,group,143
a6fe5f477519484c0c175c1c9fc2fa0d5647057c,"3180184",0,2023-06-12 18:52:29.000,Не реализовано,group,143
"2df75ce4979978ad7a34c1bc3ab105fe161af077","3236973",0,2023-06-03 20:49:37.000,Не реализовано,group,143
c4e2155957a8f5a587afd7b26eed7c166e1b9531,"3293762",0,2023-06-28 16:29:48.000,Не реализовано,group,143
e70383f5f3c72292b9141f6d641b8553500186a8,"3350551",0,2023-06-24 14:31:29.000,Не реализовано,group,143
c7e9f05ffa5ab9b831d65c3774a013a508196f0a,"3407340",0,2023-06-21 08:47:36.000,Не реализовано,group,143
"9d82167f1bc2950bf87d98f2d95581c4bc21a46c","3464129",0,2023-06-12 21:13:36.000,Не реализовано,group,143
"9bea628239a302786a8576244a69650be4681df3","3520918",0,2023-06-04 09:48:16.000,Не реализовано,group,143
"2b47b0056fb88e767a45f3814935a45e5d48c8b3","3577707",0,2023-06-09 14:34:06.000,Не реализовано,group,143
ea22461356efe2c4d5e947e21f551ae798a2c825,"3634496",0,2023-06-13 08:53:17.000,Не реализовано,group,143
"89a2aee8056c26e8382e08615931e092cb0f956d","3691285",0,2023-06-15 07:47:46.000,Не реализовано,group,143
"5a36568e2d1bc20d36aae63834f29bef33dbcfcc","3748074",0,2023-06-18 19:49:31.000,Не реализовано,group,143
af2e2dc41f6211adc2de78cfafdb33d6d6a4c331,"3804863",0,2023-06-20 11:45:20.000,Не реализовано,group,143
df56fbe7cff693308d0b28edd8b6ed27c273c4ed,"3861652",0,2023-06-04 00:36:20.000,Не реализовано,group,143
"08c9a932923a56df254663900366c84cbfc57960","3918441",0,2023-06-06 03:08:19.000,Не реализовано,group,143
"1224645bebde8ffb5ab18097341a9f31aa692abc","3975230",0,2023-06-09 17:05:14.000,Не реализовано,group,143
a2c8be4b0b0d5021228df206c55e83cd7dcbe928,"4032019",0,2023-06-14 00:19:45.000,Не реализовано,group,143
"42d052425708e0cee279039380b262fe78991b25","4088808",0,2023-06-17 19:56:43.000,Не реализовано,group,143
"5b9d75f1c0e0772ea262e465d9abe2c671756bcb","4145597",0,2023-06-11 11:22:56.000,Не реализовано,group,143
"3935322db5fd6b541a68354e15662fa91f152bbe","4202386",0,2023-06-24 08:32:36.000,Не реализовано,premium,143
"9a2ac6390b92a1b5175da1e2a699e355b7ae8dc8","4259175",0,2023-06-29 12:08:15.000,Не реализовано,group,143
"14252d8bf21c7ecbc759ee54ca48a7cce43593e4","4315964",0,2023-06-13 20:12:29.000,Не реализовано,group,143
"2e4c067296a78cdb0d77c614f5358e2e422a9332","4372753",0,2023-06-04 18:51:53.000,Не реализовано,group,143
"8f06ea5d0734e38569b1cc689e434d11dfce4194","4429542",0,2023-06-17 19:22:46.000,Не реализовано,group,143
"551d095a5aac0c620cdac317adfa6c3d76f24033","4486331",0,2023-06-03 19:43:06.000,Не реализовано,group,143
ad1a03e8949890f2d532ad5368899057a3923b6d,"4543120",0,2023-06-14 11:19:06.000,Не реализовано,premium,143
bd69af09c7a84758b3ddd2b2ff4cc4916dae31ea,"4599909",0,2023-06-28 11:25:16.000,Не реализовано,group,143
"3e1167926e87b497e9d901a2a2658c7facc3bd1d","4656698",0,2023-06-14 17:44:27.000,Не реализовано,group,143
dffe3e8ce312e8617364cf2d6eaa3eb4ecf5600d,"4713487",0,2023-06-15 00:02:51.000,Не реализовано,group,143
ca568570a36e3299432c4615ebe187c4b288d90e,"4770276",0,2023-06-18 13:39:12.000,Не реализовано,group,143
"5f6dad407c5c511b5e189cc9cdfcc0a413b2f8e0","4827065",0,2023-06-23 19:16:32.000,Не реализовано,group,143
ecd8e205b439b6ad3c5675e3310551a544ca6baf,"4883854",0,2023-06-06 17:52:46.000,Не реализовано,group,143
db24b25fec234c0bf5f84c27f90b166603820ae5,"4940643",0,2023-06-09 16:32:53.000,Не реализовано,group,143
"37d4d7476945e18e0944c09ad63295435540d7ba","4997432",0,2023-06-26 14:15:07.000,Не реализовано,group,143
"25d0e6f927e76c7c4f5af6a3d66cf0551cdc594f","5054221",0,2023-06-01 13:41:19.000,Не реализовано,group,143
"096cde6ebb1c6191773260310c2d2040157743ce","5111010",0,2023-06-19 23:37:17.000,Не реализовано,group,143
"2cc1bd4b69feaddb3655e1c39bb37466f8ae7d66","5167799",0,2023-06-18 15:57:17.000,Не реализовано,group,143
